iter	Passed	Remaining
0	0	120
1	0	119
2	1	115
3	1	112
4	1	110
5	2	109
6	2	108
7	2	106
8	3	106
9	3	105
10	4	105
11	4	103
12	4	100
13	4	100
14	5	100
15	5	100
16	5	99
17	6	98
18	6	98
19	6	97
20	7	96
21	7	96
22	7	95
23	8	95
24	8	95
25	9	94
26	9	94
27	9	94
28	10	93
29	10	93
30	10	93
31	11	93
32	11	92
33	11	92
34	12	92
35	12	92
36	12	92
37	13	93
38	13	93
39	14	94
40	14	94
41	15	93
42	15	93
43	16	93
44	16	93
45	16	92
46	17	92
47	17	92
48	17	91
49	18	91
50	18	91
51	19	91
52	19	90
53	19	90
54	20	90
55	20	90
56	21	89
57	21	89
58	21	88
59	22	88
60	22	88
61	22	88
62	23	87
63	23	87
64	23	86
65	24	86
66	24	85
67	24	85
68	25	84
69	25	84
70	25	83
71	26	83
72	26	82
73	26	82
74	27	82
75	27	81
76	28	81
77	28	81
78	28	80
79	29	80
80	29	80
81	30	80
82	30	79
83	30	79
84	31	78
85	31	78
86	32	78
87	32	78
88	32	77
89	33	77
90	33	77
91	33	76
92	34	76
93	34	75
94	34	75
95	35	74
96	35	74
97	36	74
98	36	73
99	36	73
100	37	74
101	38	74
102	38	74
103	39	73
104	39	73
105	39	73
106	40	72
107	40	72
108	41	71
109	41	71
110	41	70
111	42	70
112	42	70
113	42	69
114	43	69
115	43	68
116	43	68
117	44	68
118	44	67
119	45	67
120	45	67
121	46	67
122	46	66
123	46	66
124	47	65
125	47	65
126	47	65
127	48	65
128	48	64
129	49	64
130	49	63
131	49	63
132	50	63
133	50	62
134	51	62
135	51	62
136	51	61
137	52	61
138	52	60
139	52	60
140	53	60
141	53	59
142	54	59
143	54	59
144	55	58
145	55	58
146	55	58
147	56	57
148	56	57
149	57	57
150	57	56
151	57	56
152	58	55
153	58	55
154	58	55
155	59	54
156	59	54
157	60	53
158	60	53
159	60	53
160	61	52
161	61	52
162	62	52
163	62	51
164	62	51
165	63	51
166	63	50
167	63	50
168	64	49
169	64	49
170	65	49
171	65	48
172	65	48
173	66	47
174	66	47
175	66	47
176	67	46
177	67	46
178	68	45
179	68	45
180	68	45
181	69	44
182	69	44
183	69	44
184	70	43
185	70	43
186	70	42
187	71	42
188	71	42
189	72	41
190	72	41
191	72	40
192	73	40
193	73	40
194	73	39
195	74	39
196	74	38
197	74	38
198	75	38
199	75	37
200	75	37
201	76	37
202	77	36
203	77	36
204	77	36
205	78	35
206	78	35
207	79	34
208	79	34
209	79	34
210	80	33
211	80	33
212	80	33
213	81	32
214	81	32
215	81	31
216	82	31
217	82	31
218	83	30
219	83	30
220	84	30
221	84	29
222	84	29
223	85	28
224	85	28
225	85	28
226	86	27
227	86	27
228	87	26
229	87	26
230	87	26
231	88	25
232	88	25
233	88	25
234	89	24
235	89	24
236	89	23
237	90	23
238	90	23
239	91	22
240	91	22
241	91	22
242	92	21
243	92	21
244	93	20
245	93	20
246	94	20
247	94	19
248	94	19
249	95	19
250	95	18
251	95	18
252	96	17
253	96	17
254	96	17
255	97	16
256	97	16
257	99	16
258	99	15
259	99	15
260	100	14
261	100	14
262	100	14
263	101	13
264	101	13
265	102	13
266	102	12
267	102	12
268	103	11
269	103	11
270	103	11
271	104	10
272	104	10
273	104	9
274	105	9
275	105	9
276	106	8
277	106	8
278	106	8
279	107	7
280	107	7
281	108	6
282	108	6
283	109	6
284	109	5
285	110	5
286	110	5
287	110	4
288	111	4
289	111	3
290	111	3
291	112	3
292	112	2
293	113	2
294	113	1
295	113	1
296	114	1
297	114	0
298	115	0
299	115	0
